Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,3,113,0.7349179,0.521652,21.90641,11.90641,134
100,5,82,1.068196,0.1165985,21.79007,11.79007,139
100,1,117,0.7868993,0.5530983,22.51917,12.51917,142
100,2,92,1.095612,0.6736767,24.04605,14.04605,145
100,4,112,1.1158,0.9647646,19.86733,9.867332,148
100,1,119,1.302585,0.7752113,23.78976,13.78976,151
100,4,90,1.311153,0.9613994,16.49005,6.490049,154
100,4,81,0.83413,0.4379384,17.48545,7.485448,157
100,3,91,0.6840897,0.6639518,20.0619,10.0619,160
100,2,104,0.9301292,0.3348372,24.75153,14.75153,163
100,2,108,0.795949,0.2275778,23.52621,13.52621,166
100,1,84,1.09692,0.9476815,24.8396,14.8396,169
100,3,97,1.14982,0.8260536,23.47884,13.47884,237
100,2,107,1.240308,0.7430238,15.51947,5.519468,240
100,3,110,0.8310735,0.2084119,20.83217,10.83217,243
100,1,86,1.256104,0.3101159,24.73161,14.73161,246
100,4,118,1.092142,0.2869406,20.71307,10.71307,249
100,1,110,0.6633772,0.9402589,23.18814,13.18814,252
100,5,82,1.268941,0.5618659,21.03905,11.03905,255
100,4,104,0.796506,0.4253728,21.95888,11.95888,258
100,4,115,0.6629252,0.6665443,18.85258,8.85258,261
100,1,95,1.044612,0.4447235,21.45796,11.45796,264
100,2,105,0.9923249,0.1899577,19.47135,9.47135,267
100,4,85,1.21644,0.4046136,15.49153,5.491526,270
100,2,111,0.9175843,0.8344082,16.14573,6.145724,273
100,5,92,1.054274,0.3816852,17.92804,7.92804,276
100,5,97,1.216437,0.3506371,16.44594,6.445937,279
100,5,81,0.8063757,0.4803589,20.5316,10.5316,282
100,2,115,0.9509364,0.5606453,24.40059,14.40059,285
100,1,92,1.043108,0.04626727,22.0316,12.0316,288
200,3,113,0.8545283,0.521652,21.90641,11.90641,134
200,5,82,1.27621,0.1165985,21.79007,11.79007,139
200,1,117,0.9149699,0.5530983,22.51917,12.51917,142
200,2,92,1.258211,0.6736767,24.04605,14.04605,145
200,4,112,1.263968,0.9647646,19.86733,9.867332,148
200,1,119,1.4959,0.7752113,23.78976,13.78976,151
200,4,90,1.485261,0.9613994,16.49005,6.490049,154
200,4,81,0.9809146,0.4379384,17.48545,7.485448,157
200,3,91,0.7954276,0.6639518,20.0619,10.0619,160
200,2,104,1.093807,0.3348372,24.75153,14.75153,163
200,2,108,0.9457431,0.2275778,23.52621,13.52621,166
200,1,84,1.24258,0.9476815,24.8396,14.8396,169
200,3,97,1.320464,0.8260536,23.47884,13.47884,237
200,2,107,1.424381,0.7430238,15.51947,5.519468,240
200,3,110,0.987478,0.2084119,20.83217,10.83217,243
200,1,86,1.492497,0.3101159,24.73161,14.73161,246
200,4,118,1.297678,0.2869406,20.71307,10.71307,249
200,1,110,0.7514672,0.9402589,23.18814,13.18814,252
200,5,82,1.475466,0.5618659,21.03905,11.03905,255
200,4,104,0.9366698,0.4253728,21.95888,11.95888,258
200,4,115,0.7708186,0.6665443,18.85258,8.85258,261
200,1,95,1.228436,0.4447235,21.45796,11.45796,264
200,2,105,1.179076,0.1899577,19.47135,9.47135,267
200,4,85,1.430501,0.4046136,15.49153,5.491526,270
200,2,111,1.039431,0.8344082,16.14573,6.145724,273
200,5,92,1.239798,0.3816852,17.92804,7.92804,276
200,5,97,1.430497,0.3506371,16.44594,6.445937,279
200,5,81,0.9482762,0.4803589,20.5316,10.5316,282
200,2,115,1.105705,0.5606453,24.40059,14.40059,285
200,1,92,1.246236,0.04626727,22.0316,12.0316,288
300,3,113,0.8545283,0.521652,21.90641,11.90641,134
300,5,82,1.281333,0.1165985,21.79007,11.79007,139
300,1,117,0.9149699,0.5530983,22.51917,12.51917,142
300,2,92,1.258211,0.6736767,24.04605,14.04605,145
300,4,112,1.263968,0.9647646,19.86733,9.867332,148
300,1,119,1.4959,0.7752113,23.78976,13.78976,151
300,4,90,1.485261,0.9613994,16.49005,6.490049,154
300,4,81,0.9809146,0.4379384,17.48545,7.485448,157
300,3,91,0.7954276,0.6639518,20.0619,10.0619,160
300,2,104,1.093807,0.3348372,24.75153,14.75153,163
300,2,108,0.9457431,0.2275778,23.52621,13.52621,166
300,1,84,1.24258,0.9476815,24.8396,14.8396,169
300,3,97,1.320464,0.8260536,23.47884,13.47884,237
300,2,107,1.424381,0.7430238,15.51947,5.519468,240
300,3,110,0.987478,0.2084119,20.83217,10.83217,243
300,1,86,1.492497,0.3101159,24.73161,14.73161,246
300,4,118,1.297678,0.2869406,20.71307,10.71307,249
