Day,MoveSpeed,MaxEnergy,Size,SensorProbability
1,0.060928,95.8,0.7520736,0.3105724
2,0.141376,95.8,0.7573251,0.3105724
3,0.182816,95.8,0.7600387,0.3105724
4,0.225856,95.8,0.7628597,0.3105724
5,0.267456,95.8,0.7655818,0.3105724
6,0.310528,95.8,0.768402,0.3105724
7,0.360192,95.8,0.7716538,0.3105724
8,0.403904,95.8,0.7745195,0.3105724
9,0.445504,95.8,0.777244,0.3105724
10,0.485856,95.8,0.7798904,0.3105724
11,0.5288,95.8,0.7827009,0.3105724
12,0.57104,95.8,0.7854674,0.3105724
13,0.6118079,95.8,0.788139,0.3105724
14,0.652288,95.8,0.7907912,0.3105724
15,0.693824,95.8,0.7935101,0.3105724
16,0.735552,95.8,0.7962509,0.3105724
17,0.77808,95.8,0.799036,0.3105724
18,0.821312,95.8,0.8018628,0.3105724
19,0.859712,95.8,0.8043808,0.3105724
20,0.898208,95.8,0.8069041,0.3105724
21,0.93664,95.8,0.8094238,0.3105724
22,0.9750719,95.8,0.8119467,0.3105724
23,1.013664,95.8,0.8144714,0.3105724
24,1.051488,95.8,0.8169521,0.3105724
25,1.09088,95.8,0.8195316,0.3105724
26,1.128864,95.8,0.8220246,0.3105724
27,1.167424,95.8,0.8245546,0.3105724
28,1.20832,95.8,0.8272311,0.3105724
29,1.248352,95.8,0.8298539,0.3105724
30,1.28896,95.8,0.832517,0.3105724
31,1.32928,95.8,0.8351628,0.3105724
32,1.369344,95.8,0.8377854,0.3105724
33,1.409664,95.8,0.8404242,0.3105724
34,1.449472,95.8,0.8430289,0.3105724
35,1.490624,95.8,0.8457221,0.3105724
36,1.529792,95.8,0.8482914,0.3105724
37,1.56832,95.8,0.8508251,0.3105724
38,1.606496,95.8,0.8533304,0.3105724
39,1.645632,95.8,0.8558979,0.3105724
40,1.68304,95.8,0.8583496,0.3105724
41,1.721504,95.8,0.8608693,0.3105724
42,1.759392,95.8,0.8633534,0.3105724
43,1.798112,95.8,0.8658923,0.3105724
44,1.835904,95.8,0.8683718,0.3105724
45,1.874912,95.8,0.8709309,0.3105724
46,1.91392,95.8,0.8734911,0.3105724
47,1.952,95.8,0.8759952,0.3105724
48,1.990752,95.8,0.8785337,0.3105724
49,2.030176,95.8,0.8811205,0.3105724
50,2.06768,95.8,0.8835844,0.3105724
51,2.106592,95.8,0.8861318,0.3105724
52,2.144224,95.8,0.8885975,0.3105724
53,2.183712,95.8,0.8911855,0.3105724
