Day,MoveSpeed,MaxEnergy,Size,SensorProbability,SensorSize,WarningRange,EntityID
100,5,92,1.098915,0.3610244,20,10,134
100,3,80,0.77772,0.6621217,20,10,139
100,5,99,0.7422833,0.2018471,20,10,142
100,5,110,1.241889,0.237589,20,10,145
100,2,87,0.8831766,0.02708447,20,10,148
100,1,88,0.9984471,0.9777267,20,10,151
100,5,109,1.276796,0.9542458,20,10,154
100,5,87,0.8675454,0.933578,20,10,157
100,4,93,0.7335039,0.3733542,20,10,160
100,5,83,0.9303916,0.8966306,20,10,163
100,4,87,1.028697,0.4685684,20,10,166
100,4,82,0.8902405,0.5717332,20,10,169
100,4,96,0.6998042,0.8378605,20,10,237
100,2,92,0.8370473,0.5240304,20,10,240
100,4,102,1.099375,0.9750844,20,10,243
100,1,104,1.150223,0.8086363,20,10,246
100,4,116,0.7208175,0.1530045,20,10,249
100,1,91,1.117738,0.02799869,20,10,252
100,4,111,0.9822183,0.02990377,20,10,255
100,3,85,0.7265854,0.1684163,20,10,258
200,5,92,1.29578,0.3610244,20,10,134
200,3,80,0.906836,0.6621217,20,10,139
200,5,99,0.8842672,0.2018471,20,10,142
200,5,110,1.479438,0.237589,20,10,145
200,2,87,1.059392,0.02708447,20,10,148
200,1,88,1.13449,0.9777267,20,10,151
200,5,109,1.450766,0.9542458,20,10,154
200,5,87,0.9857528,0.933578,20,10,157
200,4,93,0.8649081,0.3733542,20,10,160
200,5,83,1.057162,0.8966306,20,10,163
200,4,87,1.212984,0.4685684,20,10,166
200,4,82,1.038037,0.5717332,20,10,169
200,4,96,0.795156,0.8378605,20,10,237
200,2,92,0.9760128,0.5240304,20,10,240
200,4,102,1.24917,0.9750844,20,10,243
200,1,104,1.324795,0.8086363,20,10,246
200,4,116,0.8646384,0.1530045,20,10,249
200,1,91,1.340754,0.02799869,20,10,252
200,4,111,1.178195,0.02990377,20,10,255
200,3,85,0.8655667,0.1684163,20,10,258
300,5,92,1.29578,0.3610244,20,10,134
300,3,80,0.906836,0.6621217,20,10,139
300,5,99,0.8842672,0.2018471,20,10,142
300,5,110,1.479438,0.237589,20,10,145
300,2,87,1.062046,0.02708447,20,10,148
300,1,88,1.13449,0.9777267,20,10,151
300,5,109,1.450766,0.9542458,20,10,154
300,5,87,0.9857528,0.933578,20,10,157
300,4,93,0.8649081,0.3733542,20,10,160
300,5,83,1.057162,0.8966306,20,10,163
300,4,87,1.212984,0.4685684,20,10,166
300,4,82,1.038037,0.5717332,20,10,169
300,4,96,0.795156,0.8378605,20,10,237
300,2,92,0.9760128,0.5240304,20,10,240
300,4,102,1.24917,0.9750844,20,10,243
300,1,104,1.324795,0.8086363,20,10,246
300,4,116,0.8668046,0.1530045,20,10,249
300,1,91,1.344113,0.02799869,20,10,252
300,4,111,1.181147,0.02990377,20,10,255
300,3,85,0.8655667,0.1684163,20,10,258
300,1,88,0.8876447,0.9777267,20,10,137
300,5,109,1.135104,0.9542458,20,10,382
300,5,87,0.7712697,0.933578,20,10,385
300,5,83,0.8271416,0.8966306,20,10,388
300,4,93,0.6182369,0.3733542,20,10,412
300,1,104,1.003197,0.8086363,20,10,378
300,4,82,0.7628331,0.5717332,20,10,400
300,2,92,0.7172526,0.5240304,20,10,403
300,3,80,0.666416,0.6621217,20,10,380
300,5,92,0.9262248,0.3610244,20,10,394
300,5,92,0.9262248,0.3610244,20,10,409
300,4,93,0.6182369,0.3733542,20,10,415
300,4,87,0.8670419,0.4685684,20,10,418
300,4,87,0.8670419,0.4685684,20,10,421
300,5,99,0.6160409,0.2018471,20,10,396
300,5,99,0.6160409,0.2018471,20,10,427
300,5,110,1.030678,0.237589,20,10,430
300,5,110,1.030678,0.237589,20,10,433
300,3,85,0.6030129,0.1684163,20,10,436
300,3,85,0.6030129,0.1684163,20,10,439
300,2,87,0.7223129,0.02708447,20,10,391
300,2,87,0.7223129,0.02708447,20,10,442
300,4,116,0.5895263,0.1530045,20,10,445
300,4,116,0.5895263,0.1530045,20,10,448
300,1,91,0.9141505,0.02799869,20,10,451
300,1,91,0.9141505,0.02799869,20,10,454
300,4,111,0.803315,0.02990377,20,10,457
300,4,111,0.803315,0.02990377,20,10,460
400,5,92,1.29578,0.3610244,20,10,134
400,3,80,0.906836,0.6621217,20,10,139
400,5,99,0.8842672,0.2018471,20,10,142
400,5,110,1.479438,0.237589,20,10,145
400,2,87,1.062046,0.02708447,20,10,148
400,1,88,1.13449,0.9777267,20,10,151
400,5,109,1.450766,0.9542458,20,10,154
400,5,87,0.9857528,0.933578,20,10,157
400,4,93,0.8649081,0.3733542,20,10,160
400,5,83,1.057162,0.8966306,20,10,163
400,4,87,1.212984,0.4685684,20,10,166
400,4,82,1.038037,0.5717332,20,10,169
400,4,96,0.795156,0.8378605,20,10,237
400,2,92,0.9760128,0.5240304,20,10,240
400,4,102,1.24917,0.9750844,20,10,243
400,1,104,1.324795,0.8086363,20,10,246
400,4,116,0.8668046,0.1530045,20,10,249
400,1,91,1.344113,0.02799869,20,10,252
400,4,111,1.181147,0.02990377,20,10,255
400,3,85,0.8655667,0.1684163,20,10,258
400,1,88,1.133381,0.9777267,20,10,137
400,5,109,1.449347,0.9542458,20,10,382
400,5,87,0.9847886,0.933578,20,10,385
400,5,83,1.056128,0.8966306,20,10,388
400,4,93,0.7774788,0.3733542,20,10,412
400,5,92,1.164796,0.3610244,20,10,409
400,4,82,0.9640093,0.5717332,20,10,400
400,5,92,1.164796,0.3610244,20,10,394
400,3,80,0.8421649,0.6621217,20,10,380
400,4,96,0.6379964,0.8378605,20,10,392
400,4,87,1.090369,0.4685684,20,10,418
400,4,87,1.090369,0.4685684,20,10,421
400,5,110,1.003774,0.237589,20,10,469
400,4,111,1.001011,0.02990377,20,10,460
400,5,110,1.290092,0.237589,20,10,430
400,5,110,1.290092,0.237589,20,10,433
400,3,85,0.7547872,0.1684163,20,10,436
400,3,85,0.7547872,0.1684163,20,10,439
400,2,87,0.9000745,0.02708447,20,10,391
400,2,87,0.9000745,0.02708447,20,10,442
400,4,116,0.7346089,0.1530045,20,10,445
400,4,116,0.7346089,0.1530045,20,10,448
400,1,91,1.139123,0.02799869,20,10,451
400,1,91,1.139123,0.02799869,20,10,454
400,4,111,1.001011,0.02990377,20,10,457
400,4,93,0.6332563,0.3733542,20,10,378
400,4,93,0.6332563,0.3733542,20,10,405
400,4,116,0.6032584,0.1530045,20,10,397
400,4,116,0.6032584,0.1530045,20,10,463
400,5,110,1.003774,0.237589,20,10,403
500,5,92,1.29578,0.3610244,20,10,134
500,3,80,0.906836,0.6621217,20,10,139
500,5,99,0.8842672,0.2018471,20,10,142
500,5,110,1.479438,0.237589,20,10,145
500,2,87,1.062046,0.02708447,20,10,148
500,1,88,1.13449,0.9777267,20,10,151
500,5,109,1.450766,0.9542458,20,10,154
500,5,87,0.9857528,0.933578,20,10,157
500,4,93,0.8649081,0.3733542,20,10,160
500,5,83,1.057162,0.8966306,20,10,163
500,4,87,1.212984,0.4685684,20,10,166
500,4,82,1.038037,0.5717332,20,10,169
500,4,96,0.795156,0.8378605,20,10,237
500,2,92,0.9760128,0.5240304,20,10,240
500,4,102,1.24917,0.9750844,20,10,243
500,1,104,1.324795,0.8086363,20,10,246
500,4,116,0.8668046,0.1530045,20,10,249
500,1,91,1.344113,0.02799869,20,10,252
500,4,111,1.181147,0.02990377,20,10,255
500,3,85,0.8655667,0.1684163,20,10,258
500,1,88,1.13449,0.9777267,20,10,137
500,5,109,1.450766,0.9542458,20,10,382
500,5,87,0.9857528,0.933578,20,10,385
500,5,83,1.057162,0.8966306,20,10,388
500,5,92,1.29578,0.3610244,20,10,394
500,5,92,1.29578,0.3610244,20,10,409
500,4,82,1.038037,0.5717332,20,10,400
500,4,82,0.7037895,0.5717332,20,10,413
500,4,96,0.795156,0.8378605,20,10,392
500,4,87,1.212984,0.4685684,20,10,418
500,4,87,1.212984,0.4685684,20,10,421
500,5,110,1.257375,0.237589,20,10,469
500,4,111,1.181147,0.02990377,20,10,460
500,5,110,1.479438,0.237589,20,10,430
500,5,110,1.479438,0.237589,20,10,433
500,3,85,0.8655667,0.1684163,20,10,436
500,3,85,0.8655667,0.1684163,20,10,439
500,2,87,1.062046,0.02708447,20,10,391
500,2,87,1.062046,0.02708447,20,10,442
500,4,116,0.8668046,0.1530045,20,10,445
500,4,116,0.8668046,0.1530045,20,10,448
500,1,91,1.344113,0.02799869,20,10,451
500,1,91,1.344113,0.02799869,20,10,454
500,4,111,1.181147,0.02990377,20,10,457
500,4,93,0.7889298,0.3733542,20,10,378
500,5,83,0.7203228,0.8966306,20,10,493
